YEAR,Region,Country,LOC,Block,HYBRID1,Pre,Commercial name,Family relatedness,density,USDA_GROUP,mean_yield,Comment,NEW LOC,NEW Block,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,65,LOAM,11.25128205,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,80,LOAM,12.27435897,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,95,LOAM,13.6375,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,110,LOAM,14.55405405,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,50,LOAM,11.04736842,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,65,LOAM,12.75135135,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,80,LOAM,13.89285714,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,95,LOAM,14.5025,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,110,LOAM,14.97179487,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,50,LOAM,12.34545455,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,65,LOAM,13.1974359,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,80,LOAM,14.88333333,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,95,LOAM,14.53953488,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,110,LOAM,15.7,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,50,LOAM,10.99302326,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,65,LOAM,12.26285714,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,80,LOAM,14.0825,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,95,LOAM,14.32564103,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,110,LOAM,14.76944444,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,50,LOAM,12.39285714,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,65,LOAM,13.68055556,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,80,LOAM,14.41794872,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,95,LOAM,14.68409091,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,110,LOAM,15.51315789,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,50,LOAM,11.37045455,Drop can be excluded,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,65,LOAM,13.2,Drop can be excluded,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,80,LOAM,14.68780488,Drop can be excluded,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,95,LOAM,15.165,Drop can be excluded,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,110,LOAM,15.675,Drop can be excluded,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,50,LOAM,11.34545455,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,65,LOAM,12.56842105,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,80,LOAM,13.56315789,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,95,LOAM,13.88604651,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,110,LOAM,14.28947368,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,50,LOAM,11.72105263,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,65,LOAM,13.78055556,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,80,LOAM,14.98684211,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,95,LOAM,15.02380952,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,110,LOAM,15.77567568,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,50,LOAM,12.34545455,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,65,LOAM,13.385,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,80,LOAM,14.3525,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,95,LOAM,14.82093023,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,110,LOAM,15.74,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,50,LOAM,11.76585366,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,65,LOAM,12.64102564,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,80,LOAM,13.94090909,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,95,LOAM,14.63902439,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,RICARDINIO,RICARDINIO,RICARDINIO,,110,LOAM,15.6974359,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,50,LOAM,10.0875,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,65,LOAM,11.36052632,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,80,LOAM,13.06904762,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,95,LOAM,13.90243902,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,AMBROSINI,AMBROSINI,AMBROSINI,,110,LOAM,14.00487805,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,50,LOAM,9.578947368,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,65,LOAM,10.4025641,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,80,LOAM,11.71081081,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,95,LOAM,13.1675,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2931,EL3023,DKC2931,Female Group 25,110,LOAM,13.27368421,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,50,LOAM,10.66046512,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,65,LOAM,12.10952381,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,80,LOAM,13.55263158,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,95,LOAM,14.265,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC2972,EQ2942,DKC2972,Female Group 24,110,LOAM,14.1,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,50,LOAM,12.4,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,80,LOAM,14.58974359,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,95,LOAM,15.48571429,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3050,EN2930,DKC3050,Female Group 31,110,LOAM,15.65263158,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,50,LOAM,11.32857143,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,65,LOAM,12.12682927,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,80,LOAM,14.03684211,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,95,LOAM,14.41025641,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3361,EP3361,DKC3361,Female Group 9,110,LOAM,14.835,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,50,LOAM,12.42439024,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,65,LOAM,13.37435897,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,80,LOAM,14.80810811,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,95,LOAM,15.25641026,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3441,EM3456,DKC3441,Female Group 31,110,LOAM,15.17105263,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,50,LOAM,11.06315789,Drop can be excluded,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,65,LOAM,13.10555556,Drop can be excluded,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,80,LOAM,14.67142857,Drop can be excluded,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,95,LOAM,15.1,Drop can be excluded,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3452,EN3357,DKC3452,Female Group 32,110,LOAM,15.45882353,Drop can be excluded,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,50,LOAM,11.3125,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,65,LOAM,12.72,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,80,LOAM,13.52368421,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,95,LOAM,14.23170732,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3568,EP3565,DKC3568,Female Group 28,110,LOAM,14.02105263,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,50,LOAM,11.78181818,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,65,LOAM,13.36097561,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,80,LOAM,14.87857143,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,95,LOAM,16.0195122,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,DKC3579,EQ3569,DKC3579,Female Group 9,110,LOAM,16.11944444,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,50,LOAM,11.9952381,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,65,LOAM,13.13333333,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,80,LOAM,14.87179487,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,95,LOAM,15.17674419,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,EQ3139,EQ3139,EQ3139,Female Group 31,110,LOAM,15.34736842,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,50,LOAM,11.02439024,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,65,LOAM,12.29142857,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,80,LOAM,13.81052632,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,95,LOAM,14.36829268,,POLAND3,2,,,,,
2016,Early central East,Poland,POLAND3,2,RICARDINIO,RICARDINIO,RICARDINIO,,110,LOAM,15.25238095,,POLAND3,2,,,,,
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,65,CLAY,6.405,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,80,CLAY,7.44325,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DELITOP,DELITOP,DELITOP,,110,CLAY,7.376,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,65,CLAY,4.5900625,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC2949,EA3204,DKC2949,Female Group 14,95,CLAY,5.254,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,50,CLAY,5.319866667,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC2960,EC2907,DKC2960,Female Group 14,80,CLAY,6.375666667,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,50,CLAY,5.019076923,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,80,CLAY,6.471846154,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3203,EG3222,DKC3203,Female Group 18,95,CLAY,6.516307692,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,95,CLAY,7.107230769,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3472,ED3412,DKC3472,Female Group 7,110,CLAY,7.466,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,65,CLAY,6.1070625,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,80,CLAY,7.375071429,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,95,CLAY,6.896307692,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3476,EC3406,DKC3476,Female Group 1,110,CLAY,7.223214286,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,50,CLAY,5.806307692,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3705,NF3715,DKC3705,Female Group 10,80,CLAY,7.804615385,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3717,NG3724,DKC3717,Female Group 6,80,CLAY,6.30425,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,50,CLAY,4.870142857,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,DKC3759,MPB372,DKC3759,Female Group 4,80,CLAY,6.432928571,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,65,CLAY,4.918733333,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,80,CLAY,5.678071429,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,1,P7535,P7535,P7535,,110,CLAY,5.432454545,,6GRU1 ,L1,,,,,
2016,Early central East,Russia,6GRU1 L,2,DELITOP,DELITOP,DELITOP,,50,CLAY,5.479428571,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DELITOP,DELITOP,DELITOP,,65,CLAY,6.399823529,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DELITOP,DELITOP,DELITOP,,95,CLAY,6.79675,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DELITOP,DELITOP,DELITOP,,110,CLAY,7.570642857,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC2949,EA3204,DKC2949,Female Group 14,65,CLAY,4.1608125,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC2949,EA3204,DKC2949,Female Group 14,110,CLAY,5.266785714,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC2960,EC2907,DKC2960,Female Group 14,65,CLAY,5.9682,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC2960,EC2907,DKC2960,Female Group 14,80,CLAY,6.208153846,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC2960,EC2907,DKC2960,Female Group 14,95,CLAY,6.55275,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC2960,EC2907,DKC2960,Female Group 14,110,CLAY,6.246923077,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3203,EG3222,DKC3203,Female Group 18,50,CLAY,5.002,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3203,EG3222,DKC3203,Female Group 18,80,CLAY,6.197153846,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3472,ED3412,DKC3472,Female Group 7,110,CLAY,7.354615385,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3476,EC3406,DKC3476,Female Group 1,50,CLAY,6.027923077,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3476,EC3406,DKC3476,Female Group 1,95,CLAY,7.366166667,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3705,NF3715,DKC3705,Female Group 10,50,CLAY,5.906083333,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3705,NF3715,DKC3705,Female Group 10,80,CLAY,7.600285714,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3705,NF3715,DKC3705,Female Group 10,95,CLAY,7.505153846,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3705,NF3715,DKC3705,Female Group 10,110,CLAY,7.938461538,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3717,NG3724,DKC3717,Female Group 6,50,CLAY,4.702416667,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3717,NG3724,DKC3717,Female Group 6,95,CLAY,6.50375,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3717,NG3724,DKC3717,Female Group 6,110,CLAY,6.657,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3759,MPB372,DKC3759,Female Group 4,50,CLAY,5.489230769,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3759,MPB372,DKC3759,Female Group 4,65,CLAY,5.8429375,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,DKC3759,MPB372,DKC3759,Female Group 4,80,CLAY,6.509846154,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,P7535,P7535,P7535,,65,CLAY,4.9341875,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,P7535,P7535,P7535,,80,CLAY,5.350769231,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU1 L,2,P7535,P7535,P7535,,110,CLAY,5.4,,6GRU1 ,L2,,,,,
2016,Early central East,Russia,6GRU2 L,1,DKC2949,EA3204,DKC2949,Female Group 14,110,CLAY,6.111546154,,6GRU2,L1,,,,,
2016,Early central East,Russia,6GRU2 L,1,DKC2960,EC2907,DKC2960,Female Group 14,95,CLAY,5.84284,,6GRU2,L1,,,,,
